MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	7.4355469	s	4/10/2018 11:26:05 AM
Axial Force	Running Time	Axial Displacement
N	s	mm
12.643158	0.013671875	-0.76572746
12.382213	0.0234375	-0.76528937
15.28674	0.033203125	-0.75790286
62.883934	0.04296875	-0.70015341
237.30547	0.052734375	-0.56865811
136.11162	0.0625	-0.33241212
176.53313	0.072265625	-0.015036762
199.24313	0.08203125	0.38381815
182.78049	0.091796875	0.84706247
105.58561	0.1015625	1.3527796
169.39783	0.11132813	1.8800706
163.67264	0.12109375	2.4141178
86.720848	0.13085938	2.9397593
90.635201	0.140625	3.4299479
80.697906	0.15039063	3.8781002
66.99308	0.16015625	4.2651014
36.144756	0.16992188	4.5811758
11.293346	0.1796875	4.8136516
-0.86124057	0.18945313	4.960175
-11.094158	0.19921875	5.0159082
-22.234161	0.20898438	4.9526916
-49.08638	0.21875	4.7105355
-663.66479	0.22851563	4.3050184
-98.34771	0.23828125	3.7133203
-55.486488	0.24804688	3.0017138
-80.572647	0.2578125	2.206491
-535.41071	0.26757813	1.3488934
-62.369598	0.27734375	0.4174009
-73.848915	0.28710938	-0.50469488
-301.75809	0.296875	-1.3958051
-61.920574	0.30664063	-2.2516906
-64.603577	0.31640625	-3.018795
-60.748425	0.32617188	-3.677392
-54.751453	0.3359375	-4.2106748
-40.653233	0.34570313	-4.5990763
-21.412853	0.35546875	-4.8469095
25.949312	0.36523438	-4.9474196
352.31784	0.375	-4.9202905
102.54235	0.38476563	-4.7056956
306.64856	0.39453125	-4.312326
221.35417	0.40429688	-3.7542999
308.86401	0.4140625	-3.058517
177.87265	0.42382813	-2.2512808
260.1633	0.43359375	-1.3796375
211.22894	0.44335938	-0.46457201
166.48589	0.453125	0.46344101
218.30603	0.46289063	1.3648093
71.456413	0.47265625	2.2236438
148.72624	0.48242188	2.9978201
15.195994	0.4921875	3.6578491
37.525574	0.50195313	4.1941271
74.958679	0.51171875	4.6104684
-13.606041	0.52148438	4.8808293
-24.076365	0.53125	4.9902453
-38.621353	0.54101563	4.9572392
-65.168755	0.55078125	4.7445612
-745.72186	0.56054688	4.3666916
-63.567303	0.5703125	3.7870243
-69.018433	0.58007813	3.0927272
-459.26108	0.58984375	2.3070812
-134.72368	0.59960938	1.4365032
-120.05807	0.609375	0.52770525
-324.39566	0.61914063	-0.3907457
-69.899231	0.62890625	-1.3027563
-133.13168	0.63867188	-2.1574094
-110.74944	0.6484375	-2.9383361
-63.904919	0.65820313	-3.6172299
-54.055977	0.66796875	-4.1654811
-38.692078	0.67773438	-4.5703263
-16.324549	0.6875	-4.8334675
154.04935	0.69726563	-4.9545093
245.74295	0.70703125	-4.935822
81.950882	0.71679688	-4.7401757
328.0383	0.7265625	-4.3699889
214.855	0.73632813	-3.8307519
245.7216	0.74609375	-3.1653748
219.74786	0.75585938	-2.3866191
316.54178	0.765625	-1.509729
78.233322	0.77539063	-0.58616698
247.4696	0.78515625	0.33540428
194.46852	0.79492188	1.2459815
45.57127	0.8046875	2.1125913
174.00076	0.81445313	2.8931589
18.061768	0.82421875	3.5754352
10.388659	0.83398438	4.134913
64.553787	0.84375	4.5695705
-9.5374775	0.85351563	4.8538847
-19.817728	0.86328125	4.9838262
-32.82933	0.87304688	4.9707756
-55.573849	0.8828125	4.7832265
-537.87207	0.89257813	4.4236822
-104.33991	0.90234375	3.873235
-56.605228	0.91210938	3.1993656
-213.79988	0.921875	2.4286046
-375.89963	0.93164063	1.5759528
-63.101433	0.94140625	0.64911246
-248.23108	0.95117188	-0.27116835
-137.5455	0.9609375	-1.1821077
-62.512501	0.97070313	-2.0517917
-66.724564	0.98046875	-2.8441577
-74.745483	0.99023438	-3.5353899
-64.115158	1	-4.1061921
-53.313293	1.0097656	-4.5318394
-30.583282	1.0195313	-4.80967
-5.8328733	1.0292969	-4.9462481
400.86127	1.0390625	-4.9509258
112.29629	1.0488281	-4.7773895
215.04254	1.0585938	-4.4261589
280.84592	1.0683594	-3.9114952
221.3286	1.078125	-3.2571898
256.55893	1.0878906	-2.4948688
253.96979	1.0976563	-1.629281
209.7476	1.1074219	-0.71433783
159.90459	1.1171875	0.21459162
230.70198	1.1269531	1.1250645
107.74236	1.1367188	1.9991249
109.96425	1.1464844	2.7967544
75.411491	1.15625	3.4887955
