MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	8.7626953	s	4/10/2018 12:15:26 PM
Axial Force	Running Time	Axial Displacement
N	s	mm
-3.2229466	0.012695313	4.9580798
-1.8907478	0.022460938	4.959394
-2.6677153	0.032226563	4.9590511
-2.3989239	0.041992188	4.9583597
-3.5433447	0.051757813	4.9585447
3.4898055	0.061523438	4.9605207
17.493341	0.071289063	4.9635367
21.473488	0.081054688	4.9705968
21.793152	0.090820313	4.9815311
22.498384	0.10058594	4.9974484
24.740398	0.11035156	5.016212
26.315073	0.12011719	5.0391393
44.715271	0.12988281	5.0654516
27.34955	0.13964844	5.0966368
19.169558	0.14941406	5.1298723
47.248516	0.15917969	5.166666
39.285515	0.16894531	5.2060289
25.115891	0.17871094	5.2502708
28.997217	0.18847656	5.294971
50.036163	0.19824219	5.3438411
38.262718	0.20800781	5.3951159
34.797318	0.21777344	5.448307
52.531292	0.22753906	5.5033312
51.89529	0.23730469	5.5603371
29.896683	0.24707031	5.6197481
55.398987	0.25683594	5.6791768
60.376884	0.26660156	5.7408886
33.553585	0.27636719	5.802949
61.062485	0.28613281	5.8661089
41.712418	0.29589844	5.9293642
40.843197	0.30566406	5.9935732
64.734642	0.31542969	6.0565934
32.786839	0.32519531	6.1197653
54.984001	0.33496094	6.183146
51.176208	0.34472656	6.2434688
31.018206	0.35449219	6.3057199
55.44873	0.36425781	6.3649788
40.309277	0.37402344	6.4249382
29.116264	0.38378906	6.4815598
53.837193	0.39355469	6.5362916
31.888828	0.40332031	6.5901475
18.750673	0.41308594	6.6407485
50.09626	0.42285156	6.6874995
29.043621	0.43261719	6.7329211
13.041647	0.44238281	6.7774162
34.226086	0.45214844	6.8161054
37.551163	0.46191406	6.8532066
24.906364	0.47167969	6.8863077
17.098042	0.48144531	6.916626
16.104326	0.49121094	6.9432335
21.073891	0.50097656	6.96664
26.175537	0.51074219	6.9859071
25.81238	0.52050781	7.0008593
25.187002	0.53027344	7.0135727
20.043396	0.54003906	7.0213571
15.967695	0.54980469	7.0263371
-4.2904286	0.55957031	7.0181026
-5.6004848	0.56933594	6.9904699
-10.417972	0.57910156	6.9372191
-25.46179	0.58886719	6.8578467
-165.45805	0.59863281	6.7533121
-55.347218	0.60839844	6.6115422
-98.555206	0.61816406	6.4491196
-137.74266	0.62792969	6.2604442
-113.09153	0.63769531	6.0483589
-118.4809	0.64746094	5.8158979
-150.7123	0.65722656	5.5667892
-117.23391	0.66699219	5.2907243
-123.26381	0.67675781	4.9978242
-140.17871	0.68652344	4.6806736
-109.18584	0.69628906	4.345222
-156.97728	0.70605469	3.9965525
-118.39091	0.71582031	3.6301866
-166.28741	0.72558594	3.252326
-126.38225	0.73535156	2.8584526
-142.31905	0.74511719	2.4548516
-155.36911	0.75488281	2.0434036
-141.5683	0.76464844	1.6218886
-143.1869	0.77441406	1.1955187
-173.3414	0.78417969	0.76570958
-144.82571	0.79394531	0.33172369
-166.18222	0.80371094	-0.10183305
-142.65891	0.81347656	-0.53562075
-140.1423	0.82324219	-0.96681863
-148.91562	0.83300781	-1.394321
-144.05333	0.84277344	-1.8162773
-154.28525	0.85253906	-2.2321656
-122.50191	0.86230469	-2.6385455
-134.00735	0.87207031	-3.0348868
-114.91012	0.88183594	-3.421721
-137.8325	0.89160156	-3.7937567
-135.06203	0.90136719	-4.1502953
-131.73178	0.91113281	-4.4937358
-99.139801	0.92089844	-4.8182397
-104.05402	0.93066406	-5.1251116
-82.289551	0.94042969	-5.4177418
-86.719749	0.95019531	-5.6836514
-91.661491	0.95996094	-5.9319139
-76.007622	0.96972656	-6.1612606
-77.138237	0.97949219	-6.3684659
-56.035278	0.98925781	-6.5479574
-64.855743	0.99902344	-6.7036076
-35.589489	1.0087891	-6.8337202
-40.719078	1.0185547	-6.9423394
-31.382114	1.0283203	-7.0233779
-23.452042	1.0380859	-7.0809216
-14.441658	1.0478516	-7.1148472
-15.858025	1.0576172	-7.1221099
4.2973666	1.0673828	-7.1040912
9.3255653	1.0771484	-7.0592256
16.234722	1.0869141	-6.9870667
42.020241	1.0966797	-6.8842649
173.49629	1.1064453	-6.7605391
30.331051	1.1162109	-6.5987902
82.778069	1.1259766	-6.4189701
127.31155	1.1357422	-6.2126203
79.799538	1.1455078	-5.978878
96.060181	1.1552734	-5.7252421
117.16816	1.1650391	-5.4505572
82.504471	1.1748047	-5.1517725
119.63287	1.1845703	-4.8362107
136.19279	1.1943359	-4.5024948
130.58101	1.2041016	-4.1518927
142.93604	1.2138672	-3.7861137
114.96888	1.2236328	-3.4062445
120.40151	1.2333984	-3.0146644
127.53113	1.2431641	-2.6130691
123.74251	1.2529297	-2.2005305
149.34515	1.2626953	-1.7822578
116.09937	1.2724609	-1.3559192
116.36149	1.2822266	-0.92468709
128.52032	1.2919922	-0.49220622
128.97075	1.3017578	-0.056375563
131.48357	1.3115234	0.37796199
112.7348	1.3212891	0.81221908
117.26843	1.3310547	1.2420609
125.9502	1.3408203	1.6648307
112.8446	1.3505859	2.0854785
114.29572	1.3603516	2.4954603
128.20583	1.3701172	2.895473
131.31787	1.3798828	3.2835557
99.435883	1.3896484	3.6607728
105.52626	1.3994141	4.0239053
107.44421	1.4091797	4.3694811
92.458481	1.4189453	4.7013206
78.441193	1.4287109	5.0129666
77.587997	1.4384766	5.3056226
85.57914	1.4482422	5.5780249
88.530899	1.4580078	5.830471
