MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	29.004883	s	4/10/2018 12:45:48 PM
Axial Force	Running Time	Axial Displacement
N	s	mm
-5.3446622	0.012695313	2.1061778
-6.4753695	0.022460938	2.1062686
-6.0720487	0.032226563	2.1058931
-4.8767195	0.041992188	2.106452
-5.2459073	0.051757813	2.1063075
-4.7736683	0.061523438	2.1063805
-3.1014323	0.071289063	2.1057889
-2.86079	0.081054688	2.106595
-0.47934008	0.090820313	2.1071105
-1.5794649	0.10058594	2.1088481
-1.1482393	0.11035156	2.1092205
-2.1085842	0.12011719	2.1097958
-1.5256228	0.12988281	2.1119416
-1.265388	0.13964844	2.1135881
-1.8697581	0.14941406	2.114758
-0.92695701	0.15917969	2.1170483
-2.045778	0.16894531	2.1196098
-1.891004	0.17871094	2.120553
-1.8862774	0.18847656	2.1232395
-2.3768399	0.19824219	2.1261706
-1.7912825	0.20800781	2.1277099
-1.6851118	0.21777344	2.1306024
-2.8246431	0.22753906	2.1340563
-1.8966268	0.23730469	2.1365926
-2.2695167	0.24707031	2.1391914
-2.9129674	0.25683594	2.142714
-1.1577504	0.26660156	2.1451726
-3.3247168	0.27636719	2.1492422
-1.5554252	0.28613281	2.1535068
-3.2181969	0.29589844	2.156873
-1.0753748	0.30566406	2.1618917
-3.7966762	0.31542969	2.1665006
-1.2463307	0.32519531	2.1706641
-2.0714476	0.33496094	2.175653
-2.8531649	0.34472656	2.1798387
0.029918738	0.35449219	2.184242
-1.2697651	0.36425781	2.1892638
1.8245075	0.37402344	2.1936626
1.8341118	0.38378906	2.198842
2.379564	0.39355469	2.2045164
3.8400526	0.40332031	2.2102535
4.4164248	0.41308594	2.2146358
2.1659303	0.42285156	2.2214665
3.7835445	0.43261719	2.2272184
2.9792194	0.44238281	2.2335277
3.1783013	0.45214844	2.2392168
5.9779735	0.46191406	2.2464128
3.6310987	0.47167969	2.2517176
6.5788279	0.48144531	2.2590711
5.8735604	0.49121094	2.2653432
5.8712087	0.50097656	2.2729828
5.7814412	0.51074219	2.280417
4.4036655	0.52050781	2.2872581
7.490767	0.53027344	2.2941172
5.139585	0.54003906	2.3015857
5.4575272	0.54980469	2.3101673
4.8096523	0.55957031	2.3183241
4.964613	0.56933594	2.3263187
4.3977284	0.57910156	2.3349941
5.3449769	0.58886719	2.3430796
3.4454513	0.59863281	2.351661
6.5562429	0.60839844	2.3595645
3.9632432	0.61816406	2.3685112
5.1275826	0.62792969	2.3775072
3.6744051	0.63769531	2.3863435
5.8557138	0.64746094	2.3956747
4.1222434	0.65722656	2.4054871
3.6203885	0.66699219	2.4159849
5.2163143	0.67675781	2.424428
3.2236333	0.68652344	2.4345875
5.7640138	0.69628906	2.4448366
3.9460952	0.70605469	2.4546714
3.9487379	0.71582031	2.4646938
2.7889502	0.72558594	2.4743974
4.2893224	0.73535156	2.4846151
3.9467471	0.74511719	2.4951861
5.018455	0.75488281	2.5063648
3.6705868	0.76464844	2.5165677
2.1004701	0.77441406	2.528192
4.5649357	0.78417969	2.5392904
2.956856	0.79394531	2.5496097
2.9244926	0.80371094	2.561131
3.8122876	0.81347656	2.5713041
2.847379	0.82324219	2.5839612
4.9592228	0.83300781	2.5956182
1.7292914	0.84277344	2.6070058
4.8301883	0.85253906	2.6190445
2.4391804	0.86230469	2.6316552
3.1414907	0.87207031	2.6433096
2.902781	0.88183594	2.6557848
3.2097218	0.89160156	2.6685729
3.2143085	0.90136719	2.6809602
4.3233857	0.91113281	2.6929662
3.6791782	0.92089844	2.7057796
2.535677	0.93066406	2.719274
3.3009565	0.94042969	2.7331545
2.3322878	0.95019531	2.7471437
4.1314168	0.95996094	2.7604432
2.1707733	0.96972656	2.7734115
5.6919756	0.97949219	2.7862384
1.4062155	0.98925781	2.8011293
4.1152468	0.99902344	2.8155236
3.3010845	1.0087891	2.8294535
3.9836392	1.0185547	2.8434753
3.5302947	1.0283203	2.8573604
3.1456118	1.0380859	2.8708756
2.984004	1.0478516	2.8863237
3.7683291	1.0576172	2.9002934
3.9424515	1.0673828	2.9151783
2.6028488	1.0771484	2.9303908
4.7296052	1.0869141	2.9444084
2.2324152	1.0966797	2.95998
4.6869621	1.1064453	2.9756262
3.2872543	1.1162109	2.9910698
3.7934048	1.1259766	3.0066385
3.6580489	1.1357422	3.0217423
2.8310227	1.1455078	3.0366049
