MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	6.2255859	s	4/10/2018 10:39:35 AM
Axial Force	Running Time	Axial Displacement
N	s	mm
27.618486	0.013671875	-6.3447104
26.298874	0.0234375	-6.3436017
28.711615	0.033203125	-6.3442707
98.931419	0.04296875	-6.3274174
175.96788	0.052734375	-6.2470379
133.83009	0.0625	-6.0737028
189.78403	0.072265625	-5.8073997
181.27687	0.08203125	-5.4437456
162.85699	0.091796875	-4.9949393
160.98212	0.1015625	-4.4762521
166.8867	0.11132813	-3.9049716
135.56804	0.12109375	-3.2949851
157.55746	0.13085938	-2.661629
145.19444	0.140625	-2.0175323
114.54482	0.15039063	-1.371932
107.69537	0.16015625	-0.7503733
121.9333	0.16992188	-0.1637429
96.994339	0.1796875	0.37624687
57.850227	0.18945313	0.85667521
50.867752	0.19921875	1.2635738
34.70293	0.20898438	1.5914216
31.071669	0.21875	1.8313706
22.051239	0.22851563	1.9832164
1.162209	0.23828125	2.052933
-0.35447302	0.24804688	2.0617173
-12.356322	0.2578125	2.0181999
-21.013653	0.26757813	1.922755
-303.53745	0.27734375	1.7755554
-11.75832	0.28710938	1.5713662
-22.106199	0.296875	1.3434976
-198.37907	0.30664063	1.0941952
-13.661582	0.31640625	0.81280768
-105.6123	0.32617188	0.52129179
-104.11656	0.3359375	0.21738857
-60.707798	0.34570313	-0.090651214
-122.45865	0.35546875	-0.3921628
-29.276672	0.36523438	-0.68516135
-67.477631	0.375	-0.95653832
-40.200211	0.38476563	-1.2049794
-12.736325	0.39453125	-1.4247775
-25.871012	0.40429688	-1.6057744
-17.692137	0.4140625	-1.7460122
-9.9178867	0.42382813	-1.8493428
-7.4395442	0.43359375	-1.9104109
-6.6192241	0.44335938	-1.9313917
-1.9169064	0.453125	-1.9075527
6.7877817	0.46289063	-1.8367186
250.4364	0.47265625	-1.7214477
7.9725871	0.48242188	-1.5472531
106.31633	0.4921875	-1.3426409
134.94669	0.50195313	-1.1028141
49.241032	0.51171875	-0.83068609
148.1205	0.52148438	-0.54130405
88.445351	0.53125	-0.23363084
111.29242	0.54101563	0.075109303
96.530312	0.55078125	0.38334876
81.098373	0.56054688	0.68142265
64.34803	0.5703125	0.96281618
74.143204	0.58007813	1.2211635
51.290501	0.58984375	1.4522896
61.291592	0.59960938	1.6494856
65.342995	0.609375	1.8108606
27.764833	0.61914063	1.93066
38.888271	0.62890625	2.0090966
29.770483	0.63867188	2.0458207
7.7662058	0.6484375	2.0409644
-14.372438	0.65820313	1.9909739
-22.300415	0.66796875	1.8913329
-285.52814	0.67773438	1.7438695
-10.315655	0.6875	1.539494
-33.899559	0.69726563	1.313293
-153.16663	0.70703125	1.0605826
-15.607744	0.71679688	0.78109056
-142.32956	0.7265625	0.4928574
-65.880058	0.73632813	0.18454492
-92.854065	0.74609375	-0.12217462
-93.650093	0.75585938	-0.42409599
-43.35648	0.765625	-0.71470886
-58.790844	0.77539063	-0.9857133
-39.940399	0.78515625	-1.2342288
-14.210876	0.79492188	-1.4513478
-33.253929	0.8046875	-1.6300454
-13.316818	0.81445313	-1.7719791
-9.1672297	0.82421875	-1.8718362
-7.721642	0.83398438	-1.9314259
-5.9288111	0.84375	-1.9505069
-1.0906136	0.85351563	-1.9272625
10.241417	0.86328125	-1.853168
239.99892	0.87304688	-1.7355382
3.8056867	0.8828125	-1.5605793
147.09357	0.89257813	-1.3554543
98.323303	0.90234375	-1.1117429
68.374359	0.91210938	-0.83991289
141.40768	0.921875	-0.54916143
86.890549	0.93164063	-0.24061054
118.12367	0.94140625	0.068505108
92.613815	0.95117188	0.37760884
87.793877	0.9609375	0.67545027
64.223274	0.97070313	0.95643848
74.190773	0.98046875	1.2130036
47.412193	0.99023438	1.4440686
65.015175	1	1.6405046
59.749157	1.0097656	1.7980947
32.010372	1.0195313	1.9169436
39.569931	1.0292969	1.9932002
24.975382	1.0390625	2.0286515
4.9774303	1.0488281	2.0211234
-14.921906	1.0585938	1.9704118
-22.938242	1.0683594	1.8674717
-302.48312	1.078125	1.7210931
-9.696826	1.0878906	1.5157089
-31.217583	1.0976563	1.2869225
-159.27797	1.1074219	1.0354533
-15.187392	1.1171875	0.75468868
-145.89459	1.1269531	0.46500117
-74.732018	1.1367188	0.15773773
-90.424973	1.1464844	-0.14922172
-92.761917	1.15625	-0.44985414
-46.327011	1.1660156	-0.740242
-59.696926	1.1757813	-1.0105417
-38.296871	1.1855469	-1.2581811
-21.478453	1.1953125	-1.4743671
-29.235065	1.2050781	-1.6523824
-17.042749	1.2148438	-1.7904043
-9.3404436	1.2246094	-1.8889799
-9.7144632	1.234375	-1.9464002
-7.4061217	1.2441406	-1.9641459
-1.3301964	1.2539063	-1.937443
14.146428	1.2636719	-1.8617465
242.11726	1.2734375	-1.7432437
3.388978	1.2832031	-1.5660942
147.19566	1.2929688	-1.3590038
101.90132	1.3027344	-1.1131361
69.446236	1.3125	-0.84177554
140.59459	1.3222656	-0.54844022
90.124046	1.3320313	-0.24151057
119.79874	1.3417969	0.068886578
93.659958	1.3515625	0.37641078
89.743134	1.3613281	0.67394823
64.263344	1.3710938	0.9543553
78.206017	1.3808594	1.2103631
46.584476	1.390625	1.4397979
67.865601	1.4003906	1.6341686
57.418896	1.4101563	1.792416
31.369667	1.4199219	1.9089057
43.653263	1.4296875	1.9835427
19.696402	1.4394531	2.0195618
-0.57653522	1.4492188	2.0105555
-14.716293	1.4589844	1.9576728
-23.737946	1.46875	1.8526659
-292.01575	1.4785156	1.7048866
-8.8994036	1.4882813	1.4998436
-63.063858	1.4980469	1.2688205
-130.33871	1.5078125	1.0141611
-24.1003	1.5175781	0.73170662
-149.08641	1.5273438	0.44290423
-75.987892	1.5371094	0.13456196
-96.34623	1.546875	-0.17003566
-96.757385	1.5566406	-0.47240555
-43.787041	1.5664063	-0.76253712
-70.704475	1.5761719	-1.0300949
-32.612762	1.5859375	-1.2769967
-24.691399	1.5957031	-1.4907644
-41.341068	1.6054688	-1.6667962
-10.783365	1.6152344	-1.8046663
-13.932224	1.625	-1.9000828
-17.73386	1.6347656	-1.9573718
-7.3194737	1.6445313	-1.9739463
-2.0868261	1.6542969	-1.9449145
20.139084	1.6640625	-1.8678933
241.68301	1.6738281	-1.7461822
2.8211508	1.6835938	-1.5676095
151.09366	1.6933594	-1.359269
96.564781	1.703125	-1.113382
72.839653	1.7128906	-0.83893239
141.1911	1.7226563	-0.54680556
92.844482	1.7324219	-0.23810267
118.72946	1.7421875	0.072672963
96.57991	1.7519531	0.37877709
86.671761	1.7617188	0.67580789
65.828972	1.7714844	0.95618963
76.08181	1.78125	1.2122154
50.218983	1.7910156	1.4405221
68.153229	1.8007813	1.6338438
55.371246	1.8105469	1.7897755
33.731262	1.8203125	1.9045815
45.895699	1.8300781	1.9785359
16.154989	1.8398438	2.0116196
-5.5446873	1.8496094	2.0017519
-15.732588	1.859375	1.9455507
-25.292103	1.8691406	1.8395708
-281.16751	1.8789063	1.6878545
-7.3712554	1.8886719	1.4785066
-37.98568	1.8984375	1.2516409
-156.1311	1.9082031	0.99691153
-19.619417	1.9179688	0.71379989
-151.9595	1.9277344	0.4242003
-79.143166	1.9375	0.1168251
-89.271858	1.9472656	-0.18984824
-102.25976	1.9570313	-0.49143136
-32.563869	1.9667969	-0.77899098
-71.263474	1.9765625	-1.0479361
-33.282883	1.9863281	-1.2928977
-23.906212	1.9960938	-1.5060186
-36.723583	2.0058594	-1.6791075
-19.572046	2.015625	-1.8147975
-10.158996	2.0253906	-1.9100473
-13.559381	2.0351563	-1.966332
-7.2146068	2.0449219	-1.9809663
-1.3585901	2.0546875	-1.9495294
19.674971	2.0644531	-1.8708124
247.52061	2.0742188	-1.7474339
1.0666671	2.0839844	-1.5668899
146.14902	2.09375	-1.3562634
105.66576	2.1035156	-1.109007
64.15036	2.1132813	-0.83319247
148.30579	2.1230469	-0.54066032
89.391014	2.1328125	-0.23085773
120.39346	2.1425781	0.076934695
95.871552	2.1523438	0.38497895
89.563904	2.1621094	0.68246871
63.935013	2.171875	0.96212924
77.19458	2.1816406	1.2153894
51.066753	2.1914063	1.4429734
63.522308	2.2011719	1.6347408
60.071575	2.2109375	1.7902493
31.247177	2.2207031	1.9030154
47.610443	2.2304688	1.9741879
15.118229	2.2402344	2.0067856
-10.071939	2.25	1.9944936
-16.292627	2.2597656	1.9377708
-25.771988	2.2695313	1.8288388
-262.23727	2.2792969	1.6751542
-7.6517463	2.2890625	1.4671876
-60.099293	2.2988281	1.2365639
-132.2469	2.3085938	0.98174363
-23.620937	2.3183594	0.69943368
-159.43712	2.328125	0.40708035
-71.786407	2.3378906	0.098827481
-100.49934	2.3476563	-0.20606816
-89.703964	2.3574219	-0.50645024
-36.957279	2.3671875	-0.79515427
-68.755325	2.3769531	-1.0628939
-29.772449	2.3867188	-1.3080001
-19.800058	2.3964844	-1.5198753
-33.052361	2.40625	-1.6899571
