MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	8.0839844	s	4/12/2018 4:57:46 PM
Axial Force	Running Time	Axial Displacement
N	s	mm
-8.1780481	0.012695313	3.3578191
-8.6773882	0.022460938	3.3573716
-7.7013392	0.032226563	3.3568339
-7.2834082	0.041992188	3.3569305
4.7638545	0.051757813	3.3624656
5.8720355	0.061523438	3.3992043
6.9348841	0.071289063	3.4859409
7.585238	0.081054688	3.6299753
9.1405935	0.090820313	3.8279934
9.7427406	0.10058594	4.0767488
11.060201	0.11035156	4.3671036
11.498749	0.12011719	4.6847749
13.79638	0.12988281	5.0189958
15.802704	0.13964844	5.3575659
15.447812	0.14941406	5.689085
17.348827	0.15917969	6.0017767
18.072699	0.16894531	6.2847118
18.54673	0.17871094	6.5295429
18.122927	0.18847656	6.729629
17.734966	0.19824219	6.8791518
16.39938	0.20800781	6.9744263
-5.5319281	0.21777344	6.9986606
-23.892021	0.22753906	6.8782063
-22.686203	0.23730469	6.5281014
-21.960203	0.24707031	5.916913
-23.131248	0.25683594	5.0871768
-24.053432	0.26660156	4.0926189
-25.887766	0.27636719	2.9665656
-12.026484	0.28613281	1.7426833
-26.563101	0.29589844	0.4594245
-27.329439	0.30566406	-0.83616793
-32.052441	0.31542969	-2.0954752
-32.77224	0.32519531	-3.2778468
-24.979794	0.33496094	-4.3473887
-22.825111	0.34472656	-5.2696595
-20.895817	0.35449219	-6.0085974
-13.898755	0.36425781	-6.5427999
-9.9200287	0.37402344	-6.8653121
-7.113884	0.38378906	-6.992137
17.081295	0.39355469	-6.925252
16.560394	0.40332031	-6.6061525
17.803686	0.41308594	-6.0340943
12.311748	0.42285156	-5.2320542
12.86536	0.43261719	-4.2532516
13.623677	0.44238281	-3.1279142
34.814484	0.45214844	-1.894114
12.815348	0.46191406	-0.61597836
15.480001	0.47167969	0.67907321
25.036808	0.48144531	1.9475511
20.259077	0.49121094	3.1456876
