MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	6.7763672	s	4/12/2018 4:12:27 PM
Axial Force	Running Time	Axial Displacement
N	s	mm
-2.0321691	0.013671875	-1.6832455
-2.0128791	0.0234375	-1.6829538
-1.7607933	0.033203125	-1.6838025
7.1517191	0.04296875	-1.6801763
21.862373	0.052734375	-1.6706998
27.170736	0.0625	-1.6477673
27.700363	0.072265625	-1.6121647
17.923077	0.08203125	-1.5640008
18.134422	0.091796875	-1.5050151
44.206532	0.1015625	-1.4321465
18.081482	0.11132813	-1.3471764
38.137836	0.12109375	-1.2524574
28.670515	0.13085938	-1.1444806
31.475611	0.140625	-1.0255096
28.274044	0.15039063	-0.89533859
47.288269	0.16015625	-0.75718284
35.808346	0.16992188	-0.60779911
51.975483	0.1796875	-0.45250943
52.133141	0.18945313	-0.28671017
55.403088	0.19921875	-0.11397237
41.824852	0.20898438	0.065932423
46.398293	0.21875	0.25112835
34.173546	0.22851563	0.44287556
45.756844	0.23828125	0.63715887
32.887108	0.24804688	0.83824044
54.614151	0.2578125	1.0398549
48.161762	0.26757813	1.246139
59.097656	0.27734375	1.4521027
46.76503	0.28710938	1.659101
46.645126	0.296875	1.8661978
43.455551	0.30664063	2.0732222
47.58218	0.31640625	2.2772517
41.866482	0.32617188	2.4805202
40.475662	0.3359375	2.6803076
33.694523	0.34570313	2.8760762
33.675011	0.35546875	3.0661778
35.747654	0.36523438	3.2544789
40.829121	0.375	3.4338007
40.276833	0.38476563	3.6061099
36.552727	0.39453125	3.7731345
41.478046	0.40429688	3.9323637
32.588543	0.4140625	4.0806808
25.882433	0.42382813	4.2222953
23.540424	0.43359375	4.3539996
29.252836	0.44335938	4.4745154
23.467838	0.453125	4.5868368
6.7356625	0.46289063	4.6864462
32.672775	0.47265625	4.7756205
2.7124887	0.48242188	4.8552065
29.071543	0.4921875	4.9206524
2.7908595	0.50195313	4.9770164
0.51468378	0.51171875	5.019341
10.163314	0.52148438	5.0504117
15.784957	0.53125	5.0681162
6.6433916	0.54101563	5.0736866
-7.5664487	0.55078125	5.0612087
-31.041353	0.56054688	5.0319128
-28.640835	0.5703125	4.9839373
-57.860722	0.58007813	4.9171252
-29.673218	0.58984375	4.8309274
-71.469986	0.59960938	4.7253036
-33.792782	0.609375	4.5978813
-54.077969	0.61914063	4.4575882
-53.668941	0.62890625	4.2963848
-61.234318	0.63867188	4.1180072
-61.49921	0.6484375	3.9270325
-63.679249	0.65820313	3.7200007
-65.614342	0.66796875	3.5018542
-61.37394	0.67773438	3.2702398
-67.571945	0.6875	3.026799
-55.16148	0.69726563	2.7718236
-76.101578	0.70703125	2.5059891
-65.693199	0.71679688	2.2299726
-77.185944	0.7265625	1.9436216
-76.1717	0.73632813	1.6502973
-73.593872	0.74609375	1.3515699
-71.230865	0.75585938	1.0496063
-67.666153	0.765625	0.742742
-62.371254	0.77539063	0.43412149
-65.715172	0.78515625	0.12197159
-74.835243	0.79492188	-0.18920907
-71.140984	0.8046875	-0.49834317
-64.970642	0.81445313	-0.80550116
-61.811672	0.82421875	-1.1095738
-56.028843	0.83398438	-1.4097561
-63.273056	0.84375	-1.7062041
-56.117481	0.85351563	-1.9932753
-50.862411	0.86328125	-2.2742348
-60.42244	0.87304688	-2.5428116
-48.778404	0.8828125	-2.8062551
-52.243633	0.89257813	-3.0563517
-50.586533	0.90234375	-3.2979987
-48.018105	0.91210938	-3.5278368
-45.08239	0.921875	-3.7457747
-41.878944	0.93164063	-3.9486961
-43.35054	0.94140625	-4.1338787
-41.279385	0.95117188	-4.305243
-35.036125	0.9609375	-4.4555902
-31.866703	0.97070313	-4.5924954
-32.833076	0.98046875	-4.7115364
-35.151211	0.99023438	-4.8138857
-20.982719	1	-4.8986092
-33.925381	1.0097656	-4.9633904
-23.1124	1.0195313	-5.011014
-10.893797	1.0292969	-5.0421162
-10.17549	1.0390625	-5.053936
-3.0230148	1.0488281	-5.0478182
19.155041	1.0585938	-5.0227022
34.06739	1.0683594	-4.9778132
16.027725	1.078125	-4.9123354
32.483051	1.0878906	-4.8289437
23.057539	1.0976563	-4.7273088
48.216339	1.1074219	-4.6063495
21.931227	1.1171875	-4.4665899
38.813316	1.1269531	-4.3108582
35.712193	1.1367188	-4.1375794
36.659103	1.1464844	-3.9488382
39.901966	1.15625	-3.745142
40.13554	1.1660156	-3.5255554
35.200367	1.1757813	-3.2946756
53.166859	1.1855469	-3.0485246
36.4921	1.1953125	-2.7921135
46.705143	1.2050781	-2.526551
50.790707	1.2148438	-2.2508833
43.030922	1.2246094	-1.9663501
45.098656	1.234375	-1.6751419
51.401749	1.2441406	-1.3776522
44.308849	1.2539063	-1.0768476
53.645763	1.2636719	-0.77098656
55.734398	1.2734375	-0.46130913
53.588959	1.2832031	-0.15165275
53.358822	1.2929688	0.16023517
47.583309	1.3027344	0.47005451
46.462708	1.3125	0.7787931
48.03495	1.3222656	1.0821048
48.210224	1.3320313	1.3826988
56.402893	1.3417969	1.6789246
54.74255	1.3515625	1.967389
48.965622	1.3613281	2.248518
41.944107	1.3710938	2.5210326
39.931313	1.3808594	2.7846622
38.552345	1.390625	3.0356855
39.081059	1.4003906	3.2769127
42.308193	1.4101563	3.5054915
40.374741	1.4199219	3.7197421
36.147621	1.4296875	3.9208429
38.851841	1.4394531	4.1081243
33.219219	1.4492188	4.2778158
29.352587	1.4589844	4.4334998
18.012629	1.46875	4.5722427
13.557943	1.4785156	4.6934752
24.248163	1.4882813	4.797308
9.802392	1.4980469	4.8863673
17.991493	1.5078125	4.9560852
0.16838312	1.5175781	5.0087442
7.9248919	1.5273438	5.0430932
9.415904	1.5371094	5.0593452
4.7162871	1.546875	5.057795
-16.167631	1.5566406	5.0371871
-31.795166	1.5664063	4.9967651
-49.889843	1.5761719	4.9374442
-42.707413	1.5859375	4.8584652
-54.458725	1.5957031	4.7613626
-39.813843	1.6054688	4.6443958
-66.214928	1.6152344	4.5089817
-56.262745	1.625	4.355144
-59.85503	1.6347656	4.1858253
-69.809296	1.6445313	4.0003042
-60.155823	1.6542969	3.7970986
