Ohm,Hz,mm,Ce_Sim,Ceq_Sim,Ceq_Exp
10.0,1.0,5,1955.7449243361996,1953.978507634154,2239.936199005085
10.0,1.0,10,1955.7449243361996,1954.218428687708,2041.8404167406725
10.0,2.0,5,1955.7449243361996,1950.1218305344821,2022.1497024692771
10.0,2.0,10,1955.7449243361996,1950.3617515880367,1850.2331264465852
10.0,3.0,5,1955.7449243361996,2021.1993341549248,1921.3517579405811
10.0,3.0,10,1955.7449243361996,2019.2182635858762,1528.4952223544778
30.0,1.0,5,1768.8327616464194,1767.1893039442975,1623.7414205536322
30.0,1.0,10,1768.8327616464194,1767.4292249978516,1417.7086298091285
30.0,2.0,5,1768.8327616464194,1763.701212670173,1428.0317370306411
30.0,2.0,10,1768.8327616464194,1763.941133723727,1193.84580956629
30.0,3.0,5,1768.8327616464194,1827.9768979694259,1397.4358601237757
30.0,3.0,10,1768.8327616464194,1825.9958274003773,1102.3593299003837
open,1.0,5,1650.1435383384091,1648.5781596012384,1426.5995387746173
open,1.0,10,1650.1435383384091,1648.8180806547925,1130.0250895545773
open,2.0,5,1650.1435383384091,1645.3241203263358,1049.21732421572
open,2.0,10,1650.1435383384091,1645.5640413798903,851.9763290659808
open,3.0,5,1650.1435383384091,1705.2806509916343,994.7337105689965
open,3.0,10,1650.1435383384091,1703.299580422586,746.8421159700711
