Format,2.0E,
Memory Length,100000,
IntpDistance,0,
Trigger Address,0,
Trigger Level,8.000E-03,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E+00,
Vertical Position,0.000E+00,
Horizontal Units,S,
Horizontal Scale,5.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Display Last Dot Address,100000,
Waveform Last Dot Address,0,
SincET Mode,Real Time,
Sampling Period,5.000E-05,
Horizontal Old Scale,5.000E-01,
Horizontal Old Position,0.000E+00,
Firmware,V1.26,
Time,14-May-18 14:57:40,
Mode,Detail,
Waveform Data,
-2.500000e+00,-2.00e-01,
-2.499950e+00,0.00e+00,
-2.499900e+00,0.00e+00,
-2.499850e+00,2.00e-01,
-2.499800e+00,2.00e-01,
-2.499750e+00,4.00e-01,
-2.499700e+00,6.00e-01,
-2.499650e+00,6.00e-01,
-2.499600e+00,1.00e+00,
-2.499550e+00,1.00e+00,
-2.499500e+00,1.20e+00,
-2.499450e+00,1.20e+00,
-2.499400e+00,1.40e+00,
-2.499350e+00,1.60e+00,
-2.499300e+00,1.60e+00,
-2.499250e+00,1.80e+00,
-2.499200e+00,1.80e+00,
-2.499150e+00,2.00e+00,
-2.499100e+00,2.00e+00,
-2.499050e+00,2.20e+00,
-2.499000e+00,2.40e+00,
-2.498950e+00,2.60e+00,
-2.498900e+00,2.60e+00,
-2.498850e+00,2.80e+00,
-2.498800e+00,2.80e+00,
-2.498750e+00,2.80e+00,
-2.498700e+00,3.00e+00,
-2.498650e+00,3.00e+00,
-2.498600e+00,3.20e+00,
-2.498550e+00,3.40e+00,
-2.498500e+00,3.40e+00,
-2.498450e+00,3.60e+00,
-2.498400e+00,3.60e+00,
-2.498350e+00,3.60e+00,
-2.498300e+00,3.60e+00,
-2.498250e+00,3.80e+00,
-2.498200e+00,4.00e+00,
-2.498150e+00,3.80e+00,
-2.498100e+00,4.00e+00,
