MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	7.8515625	s	5/14/2018 2:10:41 PM
Axial Force	Running Time	Axial Displacement
N	s	mm
16.048248	0.00390625	-8.1797457
15.26766	0.0048828125	-8.1784658
15.387661	0.005859375	-8.1779776
16.980095	0.0068359375	-8.1783047
16.320333	0.0078125	-8.1778831
16.340847	0.0087890625	-8.1775579
16.995716	0.009765625	-8.177866
17.217558	0.010742188	-8.1773968
18.876827	0.01171875	-8.176775
17.52323	0.012695313	-8.1761932
17.590786	0.013671875	-8.1761856
18.52446	0.014648438	-8.1759834
17.577736	0.015625	-8.1759396
16.90028	0.016601563	-8.1780825
17.160725	0.017578125	-8.1773548
18.117821	0.018554688	-8.1764069
17.43466	0.01953125	-8.1764078
16.649824	0.020507813	-8.1768627
17.51812	0.021484375	-8.1770191
18.276926	0.022460938	-8.1761465
17.61677	0.0234375	-8.1769571
17.897842	0.024414063	-8.1771049
18.348846	0.025390625	-8.1760035
17.42515	0.026367188	-8.1759844
16.485189	0.02734375	-8.1761494
16.593479	0.028320313	-8.1765537
16.466284	0.029296875	-8.1769142
16.267889	0.030273438	-8.1765985
16.958883	0.03125	-8.1772051
18.441399	0.032226563	-8.176672
18.681259	0.033203125	-8.1770172
17.786224	0.034179688	-8.1759882
18.841286	0.03515625	-8.1760149
19.821968	0.036132813	-8.1763487
17.570005	0.037109375	-8.1760883
18.053946	0.038085938	-8.1766014
18.569698	0.0390625	-8.1767197
17.055973	0.040039063	-8.1768579
17.170946	0.041015625	-8.1773472
18.141361	0.041992188	-8.1765842
16.388369	0.04296875	-8.1764708
17.129036	0.043945313	-8.1760311
16.993599	0.044921875	-8.1760931
15.250744	0.045898438	-8.1774406
15.563146	0.046875	-8.1786432
15.832972	0.047851563	-8.1771431
15.530084	0.048828125	-8.1768894
15.466764	0.049804688	-8.1780481
17.614267	0.05078125	-8.1776905
18.362946	0.051757813	-8.1771746
18.00469	0.052734375	-8.1757832
19.719313	0.053710938	-8.1756573
23.219175	0.0546875	-8.1749077
26.781916	0.055664063	-8.1746941
31.751268	0.056640625	-8.1737299
39.36974	0.057617188	-8.1714401
44.977955	0.05859375	-8.1690502
57.574444	0.059570313	-8.1659307
79.39875	0.060546875	-8.1614656
98.202133	0.061523438	-8.1561584
119.21094	0.0625	-8.1497068
145.02135	0.063476563	-8.1404362
161.45686	0.064453125	-8.1314192
174.12096	0.065429688	-8.1204844
187.85205	0.06640625	-8.1065483
191.39067	0.067382813	-8.091855
197.6138	0.068359375	-8.0753479
204.98389	0.069335938	-8.0563879
202.41933	0.0703125	-8.0346308
201.27087	0.071289063	-8.0123882
204.50603	0.072265625	-7.9862041
202.16823	0.073242188	-7.958869
204.12692	0.07421875	-7.9305849
212.37242	0.075195313	-7.899128
218.73529	0.076171875	-7.865324
224.7343	0.077148438	-7.8292637
236.38809	0.078125	-7.7906208
245.31139	0.079101563	-7.7496305
253.2728	0.080078125	-7.707531
264.25107	0.081054688	-7.6620874
270.67151	0.08203125	-7.614603
270.86349	0.083007813	-7.5660653
272.75143	0.083984375	-7.5136619
274.34482	0.084960938	-7.4595375
269.63007	0.0859375	-7.403779
268.34558	0.086914063	-7.3451905
262.1817	0.087890625	-7.2844515
256.30887	0.088867188	-7.2223849
255.62442	0.08984375	-7.1581392
255.09784	0.090820313	-7.0916834
262.29178	0.091796875	-7.0229826
276.05667	0.092773438	-6.9501243
296.49933	0.09375	-6.8771043
307.92447	0.094726563	-6.8000765
322.88782	0.095703125	-6.7209139
330.19937	0.096679688	-6.6391206
332.63071	0.09765625	-6.5574074
325.51831	0.098632813	-6.4742064
312.11813	0.099609375	-6.3881583
303.24893	0.10058594	-6.3025951
283.78699	0.1015625	-6.2151251
276.29782	0.10253906	-6.1245122
267.72641	0.10351563	-6.032711
266.21997	0.10449219	-5.9400864
272.13269	0.10546875	-5.8465877
279.21268	0.10644531	-5.7524977
295.54492	0.10742188	-5.6559286
307.08414	0.10839844	-5.5575199
318.1355	0.109375	-5.4584131
335.13269	0.11035156	-5.358263
340.26224	0.11132813	-5.256536
345.20416	0.11230469	-5.1525102
349.63126	0.11328125	-5.048696
344.76437	0.11425781	-4.9425917
342.07251	0.11523438	-4.8360071
332.43262	0.11621094	-4.7272854
320.49246	0.1171875	-4.6182899
308.74973	0.11816406	-4.5081682
295.68832	0.11914063	-4.3967447
279.81491	0.12011719	-4.2858267
269.7106	0.12109375	-4.1721134
259.29172	0.12207031	-4.0593567
256.81705	0.12304688	-3.9452062
264.61722	0.12402344	-3.8306952
272.35114	0.125	-3.7158756
289.30984	0.12597656	-3.5994158
299.20041	0.12695313	-3.4825399
309.30286	0.12792969	-3.3665731
316.79239	0.12890625	-3.2502062
322.65039	0.12988281	-3.1314633
325.49564	0.13085938	-3.0136421
328.82089	0.13183594	-2.8947136
324.48065	0.1328125	-2.7758577
318.16623	0.13378906	-2.6545689
314.90802	0.13476563	-2.5348709
301.75815	0.13574219	-2.4132366
290.12662	0.13671875	-2.2931318
276.89948	0.13769531	-2.1705623
263.87619	0.13867188	-2.0482812
253.9666	0.13964844	-1.926734
241.34143	0.140625	-1.8048108
237.35631	0.14160156	-1.6824682
239.33572	0.14257813	-1.5607283
239.66435	0.14355469	-1.439479
249.87143	0.14453125	-1.3180662
262.78723	0.14550781	-1.1959244
271.67282	0.14648438	-1.0745816
283.58649	0.14746094	-0.95400065
292.00031	0.1484375	-0.83314329
301.93213	0.14941406	-0.71306157
298.11859	0.15039063	-0.5925495
295.09213	0.15136719	-0.47192201
284.66644	0.15234375	-0.35329461
270.6701	0.15332031	-0.23374893
261.0903	0.15429688	-0.1137767
250.05328	0.15527344	0.0041920692
235.71158	0.15625	0.12174658
228.63962	0.15722656	0.24006441
216.87132	0.15820313	0.35809392
213.8992	0.15917969	0.47381744
207.76411	0.16015625	0.58838576
210.26936	0.16113281	0.70350564
218.71712	0.16210938	0.81736201
223.06931	0.16308594	0.92938578
231.13893	0.1640625	1.0412427
236.37802	0.16503906	1.1528645
237.86656	0.16601563	1.2623589
236.856	0.16699219	1.3708045
233.97047	0.16796875	1.4793366
226.63702	0.16894531	1.5868781
220.37097	0.16992188	1.692265
210.42984	0.17089844	1.7983017
204.21382	0.171875	1.9022982
196.99217	0.17285156	2.0048566
