Ohm,Hz,mm,Ce_Sim,Ceq_Sim,Ceq_Exp
6.8,1.0,5,2058.6843385670345,2056.850203813664,2612.847784373624
6.8,1.0,7,2058.6843385670345,2056.987301558551,2405.8046135871646
6.8,1.0,10,2058.6843385670345,2057.090124867217,2317.7539263324334
6.8,2.0,5,2058.6843385670345,2052.7905329203854,2457.251371917378
6.8,2.0,7,2058.6843385670345,2052.9276306652728,2235.6990941454524
6.8,2.0,10,2058.6843385670345,2053.030453973939,2024.7568908420485
6.8,3.0,5,2058.6843385670345,2130.513069545002,2128.3370767439524
6.8,3.0,7,2058.6843385670345,2129.381029219831,1927.154608804947
6.8,3.0,10,2058.6843385670345,2128.5319989759532,1837.618443378975
10.0,1.0,5,1955.7449243361996,1953.978507634154,2451.083584361077
10.0,1.0,7,1955.7449243361996,1954.1156053790419,2297.048594501131
10.0,1.0,10,1955.7449243361996,1954.2184286877084,2124.2763003326554
10.0,2.0,5,1955.7449243361996,1950.1218305344826,2017.0119715109633
10.0,2.0,7,1955.7449243361996,1950.2589282793704,1943.329044102218
10.0,2.0,10,1955.7449243361996,1950.3617515880371,1949.950415130992
10.0,3.0,5,1955.7449243361996,2024.0983552163143,1903.3385885375383
10.0,3.0,7,1955.7449243361996,2022.9663148911434,1762.7978505450537
10.0,3.0,10,1955.7449243361996,2022.1172846472662,1577.0361182082875
15.0,1.0,5,1869.4168491955807,1867.7072228790926,2040.6378363152953
15.0,1.0,7,1869.4168491955807,1867.8443206239806,2019.2472181954367
15.0,1.0,10,1869.4168491955807,1867.9471439326471,1924.805666071707
15.0,2.0,5,1869.4168491955807,1864.0207824530848,1804.7989182059182
15.0,2.0,7,1869.4168491955807,1864.157880197973,1722.5796996697366
15.0,2.0,10,1869.4168491955807,1864.2607035066394,1598.5331372576898
15.0,3.0,5,1869.4168491955807,1934.855789350978,1611.6798000412125
15.0,3.0,7,1869.4168491955807,1933.723749025807,1521.9847891311076
15.0,3.0,10,1869.4168491955807,1932.8747187819292,1407.0908760322432
30.0,1.0,5,1768.8327616464194,1767.189303944297,1984.2366873333308
30.0,1.0,7,1768.8327616464194,1767.3264016891849,1913.988757069664
30.0,1.0,10,1768.8327616464194,1767.4292249978514,1538.9690756130083
30.0,2.0,5,1768.8327616464194,1763.7012126701725,1542.8480455459414
30.0,2.0,7,1768.8327616464194,1763.8383104150605,1455.2819824264964
30.0,2.0,10,1768.8327616464194,1763.941133723727,1299.0592708336724
30.0,3.0,5,1768.8327616464194,1830.8759190308153,1430.9869591917552
30.0,3.0,7,1768.8327616464194,1829.7438787056444,1252.2486168604114
30.0,3.0,10,1768.8327616464194,1828.8948484617665,1144.829248167488
open,1.0,5,1650.1435383384091,1648.5781596012384,1549.842812920016
open,1.0,7,1650.1435383384091,1648.715257346126,1361.0695407425198
open,1.0,10,1650.1435383384091,1648.818080654793,1204.9540747375313
open,2.0,5,1650.1435383384091,1645.3241203263358,1205.03675535169
open,2.0,7,1650.1435383384091,1645.4612180712243,1075.6182574382376
open,2.0,10,1650.1435383384091,1645.5640413798903,913.129328431059
open,3.0,5,1650.1435383384091,1708.1796720530238,998.0607417941749
open,3.0,7,1650.1435383384091,1707.0476317278528,951.4581590217332
open,3.0,10,1650.1435383384091,1706.1986014839747,806.1563839611445
