MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	9.9296875	s	5/14/2018 2:53:12 PM
Axial Force	Running Time	Axial Displacement
N	s	mm
27.106272	0.00390625	-4.9153118
27.286484	0.0048828125	-4.9158535
26.841146	0.005859375	-4.9152241
27.23484	0.0068359375	-4.9155331
26.724138	0.0078125	-4.9161515
27.232826	0.0087890625	-4.9152961
27.885893	0.009765625	-4.9159794
27.650864	0.010742188	-4.9154162
27.717196	0.01171875	-4.9151034
27.420301	0.012695313	-4.9147749
26.663404	0.013671875	-4.9152188
26.234694	0.014648438	-4.9149818
26.643299	0.015625	-4.915051
26.415382	0.016601563	-4.9157953
25.408237	0.017578125	-4.9156508
24.477764	0.018554688	-4.9151955
24.708338	0.01953125	-4.9155602
25.39925	0.020507813	-4.9145093
24.992367	0.021484375	-4.9148293
23.849983	0.022460938	-4.9157748
24.19348	0.0234375	-4.9157233
23.96471	0.024414063	-4.9149709
22.750069	0.025390625	-4.9165463
23.797817	0.026367188	-4.916853
24.752483	0.02734375	-4.9164681
24.037924	0.028320313	-4.9162188
24.328869	0.029296875	-4.9168534
24.906628	0.030273438	-4.9163861
25.145954	0.03125	-4.9155345
25.744806	0.032226563	-4.9157939
25.121704	0.033203125	-4.9152284
25.101915	0.034179688	-4.9159622
25.512873	0.03515625	-4.9152279
25.054173	0.036132813	-4.9152904
25.458004	0.037109375	-4.9153457
26.146114	0.038085938	-4.9151239
25.121962	0.0390625	-4.916214
24.935894	0.040039063	-4.9153872
24.788712	0.041015625	-4.9163475
23.784395	0.041992188	-4.9159126
24.822924	0.04296875	-4.9157381
25.260868	0.043945313	-4.9159107
24.398266	0.044921875	-4.9161606
24.553877	0.045898438	-4.9166055
25.594141	0.046875	-4.9158812
24.16795	0.047851563	-4.916852
24.879257	0.048828125	-4.9158087
26.247442	0.049804688	-4.9162641
26.529982	0.05078125	-4.9157066
27.622097	0.051757813	-4.9149871
30.115095	0.052734375	-4.9151883
32.404778	0.053710938	-4.9148359
35.472088	0.0546875	-4.914187
39.822506	0.055664063	-4.9138093
42.608513	0.056640625	-4.9133358
46.948872	0.057617188	-4.9132318
52.114803	0.05859375	-4.9113607
56.015106	0.059570313	-4.9107261
59.987946	0.060546875	-4.910049
64.086052	0.061523438	-4.9080582
65.174698	0.0625	-4.9069314
65.427628	0.063476563	-4.9052572
66.650703	0.064453125	-4.9022393
65.720848	0.065429688	-4.9011974
63.4832	0.06640625	-4.8989339
63.135036	0.067382813	-4.8951225
61.274715	0.068359375	-4.8918443
59.606316	0.069335938	-4.8891225
59.943096	0.0703125	-4.8863635
60.207058	0.071289063	-4.882638
59.915379	0.072265625	-4.8785105
61.36676	0.073242188	-4.8748775
62.108791	0.07421875	-4.8706694
62.618179	0.075195313	-4.8660302
63.354195	0.076171875	-4.8614621
63.928558	0.077148438	-4.8564897
62.988094	0.078125	-4.8516707
62.482117	0.079101563	-4.8461251
61.402905	0.080078125	-4.8407965
60.230564	0.081054688	-4.8352761
58.425877	0.08203125	-4.8297434
57.262375	0.083007813	-4.8236413
56.129871	0.083984375	-4.8176064
55.472294	0.084960938	-4.8119197
54.88406	0.0859375	-4.8036718
53.613041	0.086914063	-4.7962456
52.604401	0.087890625	-4.7888622
52.061794	0.088867188	-4.7812886
50.698395	0.08984375	-4.7742901
49.481476	0.090820313	-4.7645702
47.984474	0.091796875	-4.7579637
48.889114	0.092773438	-4.7505922
50.445492	0.09375	-4.7420478
53.629261	0.094726563	-4.7323561
57.24926	0.095703125	-4.724443
62.204266	0.096679688	-4.7160187
67.577011	0.09765625	-4.7059627
72.625092	0.098632813	-4.6962132
75.18029	0.099609375	-4.6869397
77.21875	0.10058594	-4.6758614
77.550293	0.1015625	-4.6650591
74.930992	0.10253906	-4.6545081
70.835556	0.10351563	-4.6439939
65.784836	0.10449219	-4.6324482
59.183117	0.10546875	-4.6208777
51.15659	0.10644531	-4.6095719
43.877766	0.10742188	-4.5980272
39.401577	0.10839844	-4.5857825
37.155941	0.109375	-4.5738115
38.926498	0.11035156	-4.5620747
45.480091	0.11132813	-4.5491815
55.696274	0.11230469	-4.5354233
66.881432	0.11328125	-4.5237889
75.698608	0.11425781	-4.5107408
83.993103	0.11523438	-4.4968476
87.665108	0.11621094	-4.4830093
86.384567	0.1171875	-4.4694581
82.467422	0.11816406	-4.4552708
76.633743	0.11914063	-4.4402914
67.767303	0.12011719	-4.4262505
57.73167	0.12109375	-4.4113479
48.576469	0.12207031	-4.3957272
42.564919	0.12304688	-4.3800554
41.816414	0.12402344	-4.3642974
45.901619	0.125	-4.3483496
52.462807	0.12597656	-4.3327913
59.450222	0.12695313	-4.3160362
66.210243	0.12792969	-4.3004026
70.52063	0.12890625	-4.2829885
70.551315	0.12988281	-4.2665811
70.577179	0.13085938	-4.2492971
68.793671	0.13183594	-4.2318783
67.062553	0.1328125	-4.2150421
66.976707	0.13378906	-4.1983881
67.477539	0.13476563	-4.1809826
66.868347	0.13574219	-4.1618643
66.206474	0.13671875	-4.1442761
64.70665	0.13769531	-4.125473
64.557907	0.13867188	-4.106576
64.039307	0.13964844	-4.0883155
61.358376	0.140625	-4.0683508
60.081493	0.14160156	-4.0502086
62.935604	0.14257813	-4.0310516
65.045952	0.14355469	-4.0112481
66.656136	0.14453125	-3.9921687
70.810135	0.14550781	-3.9726467
73.091972	0.14648438	-3.9516172
73.390793	0.14746094	-3.9313755
72.063942	0.1484375	-3.9108508
69.394508	0.14941406	-3.8896255
67.55658	0.15039063	-3.8686304
67.265221	0.15136719	-3.8474202
68.943459	0.15234375	-3.8265796
69.379684	0.15332031	-3.8050852
70.185265	0.15429688	-3.7829578
68.412506	0.15527344	-3.7599728
66.592949	0.15625	-3.7373402
66.549904	0.15722656	-3.7156553
69.386108	0.15820313	-3.6937156
70.909477	0.15917969	-3.671231
72.913498	0.16015625	-3.6481142
74.049072	0.16113281	-3.6248751
73.953278	0.16210938	-3.601984
71.295372	0.16308594	-3.5783126
67.722687	0.1640625	-3.5541267
64.511559	0.16503906	-3.5307846
64.308464	0.16601563	-3.5064325
65.191795	0.16699219	-3.4826591
67.03685	0.16796875	-3.4574761
68.418633	0.16894531	-3.433656
69.098244	0.16992188	-3.4093738
69.218613	0.17089844	-3.3847549
70.89859	0.171875	-3.3601136
72.757362	0.17285156	-3.3343701
74.804337	0.17382813	-3.3091693
75.313042	0.17480469	-3.2832339
73.951622	0.17578125	-3.2574506
71.654305	0.17675781	-3.2321305
71.600754	0.17773438	-3.2060206
71.820465	0.17871094	-3.1794229
72.036171	0.1796875	-3.1529574
74.022972	0.18066406	-3.1269596
73.806778	0.18164063	-3.1000309
72.611107	0.18261719	-3.073658
71.603127	0.18359375	-3.0470409
70.874611	0.18457031	-3.0194311
72.299797	0.18554688	-2.9927514
75.414185	0.18652344	-2.9649556
76.475784	0.1875	-2.9381857
76.292747	0.18847656	-2.910675
76.259674	0.18945313	-2.8824897
76.512604	0.19042969	-2.8537557
77.648926	0.19140625	-2.8260908
81.245003	0.19238281	-2.7969606
84.308464	0.19335938	-2.7682014
82.458572	0.19433594	-2.7399421
80.310143	0.1953125	-2.7104826
80.768562	0.19628906	-2.6812329
81.191437	0.19726563	-2.6529827
80.867294	0.19824219	-2.6251636
78.89183	0.19921875	-2.5946043
75.48465	0.20019531	-2.5645642
70.804985	0.20117188	-2.5353544
69.88253	0.20214844	-2.505233
70.477242	0.203125	-2.4748151
73.380623	0.20410156	-2.4446516
75.426628	0.20507813	-2.4145803
75.066795	0.20605469	-2.3848698
75.773758	0.20703125	-2.3541856
77.699188	0.20800781	-2.3238127
82.584267	0.20898438	-2.2931035
84.635002	0.20996094	-2.2623415
82.797462	0.2109375	-2.2318289
80.742249	0.21191406	-2.2011399
81.200989	0.21289063	-2.169796
82.320221	0.21386719	-2.1390688
81.804016	0.21484375	-2.107944
80.948456	0.21582031	-2.0755014
78.942055	0.21679688	-2.0433242
78.395096	0.21777344	-2.0111911
77.906982	0.21875	-1.979252
78.369453	0.21972656	-1.9471179
77.811562	0.22070313	-1.9159228
75.531311	0.22167969	-1.8827159
73.437622	0.22265625	-1.8507921
72.161087	0.22363281	-1.8178124
72.037498	0.22460938	-1.7847244
72.249382	0.22558594	-1.7523859
73.192482	0.2265625	-1.7199914
73.618645	0.22753906	-1.6876743
