MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	7.4101563	s	5/16/2018 11:19:57 AM
Axial Force	Running Time	Axial Displacement
N	s	mm
-0.80656028	0.00390625	-3.8175159
-1.3126643	0.0048828125	-3.8168452
-0.86976218	0.005859375	-3.8170002
-0.47094655	0.0068359375	-3.8175948
-0.20345905	0.0078125	-3.8171716
-0.95760918	0.0087890625	-3.8166337
-0.46135393	0.009765625	-3.816571
-0.75625724	0.010742188	-3.816653
-0.95168364	0.01171875	-3.8171849
-0.11498341	0.012695313	-3.8160822
-0.074342825	0.013671875	-3.8160689
-0.9756186	0.014648438	-3.8159928
-0.80275351	0.015625	-3.8169868
-1.283118	0.016601563	-3.816884
-1.879665	0.017578125	-3.8172266
-1.7984188	0.018554688	-3.8172967
-1.6403152	0.01953125	-3.8166561
-2.0085368	0.020507813	-3.8165309
-2.1937537	0.021484375	-3.8168988
-2.2573047	0.022460938	-3.8171523
-1.8479768	0.0234375	-3.816808
-2.1770248	0.024414063	-3.8170002
-1.6230042	0.025390625	-3.8169093
-1.9619707	0.026367188	-3.8175933
-2.3599715	0.02734375	-3.8171597
-1.9583734	0.028320313	-3.8173206
-1.7659855	0.029296875	-3.8169303
-1.5597558	0.030273438	-3.8172193
-1.3814541	0.03125	-3.8172789
-1.5630038	0.032226563	-3.8171313
-2.1643121	0.033203125	-3.816963
-2.3109956	0.034179688	-3.8173966
-2.0007253	0.03515625	-3.8168139
-1.9580708	0.036132813	-3.8166993
-2.3209956	0.037109375	-3.81651
-2.2276771	0.038085938	-3.8170271
-1.5916419	0.0390625	-3.8168511
-0.94319695	0.040039063	-3.8167052
-0.33555552	0.041015625	-3.8170419
0.91285908	0.041992188	-3.8175755
2.8438983	0.04296875	-3.8161747
5.6579709	0.043945313	-3.8151674
8.4701223	0.044921875	-3.8150034
13.086479	0.045898438	-3.8129263
22.449594	0.046875	-3.8105943
31.394833	0.047851563	-3.8086853
44.121494	0.048828125	-3.8050778
57.014565	0.049804688	-3.8021438
67.713257	0.05078125	-3.797684
80.943474	0.051757813	-3.7915983
91.781815	0.052734375	-3.7861235
99.805489	0.053710938	-3.7800632
107.3294	0.0546875	-3.772541
115.26763	0.055664063	-3.7641308
121.3435	0.056640625	-3.7560172
128.84787	0.057617188	-3.7450082
134.74249	0.05859375	-3.7340634
137.76761	0.059570313	-3.7223318
139.37372	0.060546875	-3.7078998
140.3092	0.061523438	-3.6940894
138.63789	0.0625	-3.6807053
137.58566	0.063476563	-3.662955
131.00357	0.064453125	-3.6451974
122.87992	0.065429688	-3.6279879
117.45988	0.06640625	-3.607054
113.23733	0.067382813	-3.5862663
108.85632	0.068359375	-3.5651677
108.5005	0.069335938	-3.5437145
109.7977	0.0703125	-3.5196395
