Ohm,Hz,mm,Ce_Sim,Ceq_Sim,Ceq_Exp
10.0,1.0,5,1955.7449243361996,1953.978507634154,2446.3429816669595
10.0,1.0,7,1955.7449243361996,1954.1156053790423,2261.4577852830794
10.0,1.0,10,1955.7449243361996,1954.218428687708,2099.7549348573193
10.0,2.0,5,1955.7449243361996,1950.1218305344821,2150.5899336366037
10.0,2.0,7,1955.7449243361996,1950.2589282793704,2003.19535191714
10.0,2.0,10,1955.7449243361996,1950.3617515880367,1811.0625480148803
10.0,3.0,5,1955.7449243361996,2021.1993341549248,1917.1412222409529
10.0,3.0,7,1955.7449243361996,2020.067293829754,1880.7306640079232
10.0,3.0,10,1955.7449243361996,2019.2182635858762,1611.3243322728774
30.0,1.0,5,1768.8327616464194,1767.1893039442975,1837.0257085673675
30.0,1.0,7,1768.8327616464194,1767.3264016891849,1509.9627119404652
30.0,1.0,10,1768.8327616464194,1767.4292249978516,1450.9297963212837
30.0,2.0,5,1768.8327616464194,1763.701212670173,1429.943656017572
30.0,2.0,7,1768.8327616464194,1763.8383104150605,1313.2510610032464
30.0,2.0,10,1768.8327616464194,1763.941133723727,1247.2479221484093
30.0,3.0,5,1768.8327616464194,1827.9768979694259,1297.541895999299
30.0,3.0,7,1768.8327616464194,1826.8448576442552,1171.6749048676845
30.0,3.0,10,1768.8327616464194,1825.9958274003773,1066.0934276278324
open,1.0,5,1650.1435383384091,1648.5781596012384,1461.5920666148209
open,1.0,7,1650.1435383384091,1648.715257346126,1191.152963393336
open,1.0,10,1650.1435383384091,1648.8180806547925,1013.4352597637542
open,2.0,5,1650.1435383384091,1645.3241203263358,1022.110463852955
open,2.0,7,1650.1435383384091,1645.4612180712243,942.7682752551196
open,2.0,10,1650.1435383384091,1645.5640413798903,912.0543513828159
open,3.0,5,1650.1435383384091,1705.2806509916343,1015.3664641953225
open,3.0,7,1650.1435383384091,1704.1486106664636,862.8628289889701
open,3.0,10,1650.1435383384091,1703.299580422586,729.9614628397261
