MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	9.8076172	s	5/16/2018 11:29:24 AM
Axial Force	Running Time	Axial Displacement
N	s	mm
-2.0520878	0.00390625	-4.6421952
-1.9172789	0.0048828125	-4.6422758
-2.0161505	0.005859375	-4.6427794
-2.17926	0.0068359375	-4.642869
-1.8714927	0.0078125	-4.6430001
-0.58489388	0.0087890625	-4.6427393
-0.98448944	0.009765625	-4.6428928
-1.7400365	0.010742188	-4.642724
-1.9588042	0.01171875	-4.6424098
-2.3019617	0.012695313	-4.6431937
-2.472347	0.013671875	-4.6423368
-1.9641011	0.014648438	-4.6416054
-1.777953	0.015625	-4.6418018
-1.9754865	0.016601563	-4.6425872
-1.9403174	0.017578125	-4.6424975
-2.0883162	0.018554688	-4.6420822
-1.6540871	0.01953125	-4.6420536
-1.4347024	0.020507813	-4.6422148
-1.6075792	0.021484375	-4.6424975
-1.7841231	0.022460938	-4.6423769
-1.9363593	0.0234375	-4.6418972
-1.9760569	0.024414063	-4.6423159
-1.8994673	0.025390625	-4.6427064
-2.0464766	0.026367188	-4.6427393
-2.9150164	0.02734375	-4.6425438
-2.768822	0.028320313	-4.6422801
-2.3689818	0.029296875	-4.6426139
-2.4327891	0.030273438	-4.6418123
-2.1539047	0.03125	-4.6415887
-2.6299386	0.032226563	-4.6419911
-1.7739251	0.033203125	-4.6426644
-1.6350182	0.034179688	-4.6422772
-2.3806584	0.03515625	-4.6420941
-2.4299254	0.036132813	-4.6423025
-1.6346574	0.037109375	-4.6422324
-1.7409446	0.038085938	-4.6421728
-1.8894789	0.0390625	-4.6417198
-2.237747	0.040039063	-4.6420879
-2.088747	0.041015625	-4.6430178
-2.3891218	0.041992188	-4.6420255
-2.4436624	0.04296875	-4.6433606
-3.3251708	0.043945313	-4.642827
-3.0587776	0.044921875	-4.6427331
-2.9394519	0.045898438	-4.6423473
-3.056787	0.046875	-4.6427808
-2.9189279	0.047851563	-4.6441369
-2.5084825	0.048828125	-4.6440353
-1.8504332	0.049804688	-4.6425633
-3.3506892	0.05078125	-4.6422029
-2.7745147	0.051757813	-4.6425052
-0.71583784	0.052734375	-4.6415606
