MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	7.2304688	s	5/16/2018 12:07:06 PM
Axial Force	Running Time	Axial Displacement
N	s	mm
-5.6762366	0.00390625	-1.8558644
-5.3479452	0.0048828125	-1.856371
-4.7335982	0.005859375	-1.8569313
-5.1047654	0.0068359375	-1.8563725
-4.8596063	0.0078125	-1.8557363
-5.6685882	0.0087890625	-1.8555678
-6.0195918	0.009765625	-1.8565632
-5.3873868	0.010742188	-1.85659
-5.0720873	0.01171875	-1.8572078
-5.3772006	0.012695313	-1.8567026
-5.1566281	0.013671875	-1.8570907
-4.8798857	0.014648438	-1.8565655
-4.9536119	0.015625	-1.8560991
-4.2417669	0.016601563	-1.8567055
-3.595336	0.017578125	-1.8564775
-4.2886591	0.018554688	-1.8564075
-3.2825279	0.01953125	-1.8563129
-3.4406083	0.020507813	-1.8566728
-3.1101866	0.021484375	-1.8574357
-2.823386	0.022460938	-1.8569305
-2.8482172	0.0234375	-1.8560894
-3.02915	0.024414063	-1.8558688
-2.9852147	0.025390625	-1.8567867
-2.7162955	0.026367188	-1.8559217
-2.6339433	0.02734375	-1.8560611
-3.3909223	0.028320313	-1.8561497
-3.9122651	0.029296875	-1.8557526
-2.586993	0.030273438	-1.8566608
-1.1028838	0.03125	-1.8560075
1.1357595	0.032226563	-1.8547684
4.8133779	0.033203125	-1.8546194
8.8439436	0.034179688	-1.852946
14.946202	0.03515625	-1.8508315
22.211128	0.036132813	-1.8491231
33.912434	0.037109375	-1.8472649
47.305645	0.038085938	-1.8433943
64.00692	0.0390625	-1.8391185
82.141731	0.040039063	-1.8337138
100.97281	0.041015625	-1.8264741
119.70625	0.041992188	-1.8192708
137.77328	0.04296875	-1.8107109
153.93166	0.043945313	-1.8014357
168.5143	0.044921875	-1.7898023
182.23418	0.045898438	-1.7781116
193.91202	0.046875	-1.7658979
204.81746	0.047851563	-1.7500848
214.10103	0.048828125	-1.7334468
218.6176	0.049804688	-1.7158613
222.56587	0.05078125	-1.6971864
227.79585	0.051757813	-1.675231
230.21585	0.052734375	-1.6523577
230.22273	0.053710938	-1.6296841
230.35631	0.0546875	-1.6049311
226.72668	0.055664063	-1.5783131
222.09113	0.056640625	-1.550179
218.53568	0.057617188	-1.5194975
215.30409	0.05859375	-1.4885396
212.64622	0.059570313	-1.4553063
210.09654	0.060546875	-1.420892
206.95007	0.061523438	-1.38551
204.03734	0.0625	-1.3478756
201.12064	0.063476563	-1.3089969
199.35271	0.064453125	-1.2693495
197.32607	0.065429688	-1.2275428
194.64668	0.06640625	-1.1850499
191.80267	0.067382813	-1.1409365
190.80418	0.068359375	-1.0937109
190.4464	0.069335938	-1.0472186
188.66371	0.0703125	-0.99928308
189.74785	0.071289063	-0.95030892
192.42894	0.072265625	-0.89985955
191.4467	0.073242188	-0.84830076
189.96227	0.07421875	-0.79422069
192.39156	0.075195313	-0.73980391
195.7724	0.076171875	-0.68458468
195.23944	0.077148438	-0.62769949
194.19214	0.078125	-0.56983829
191.52461	0.079101563	-0.51036179
190.78091	0.080078125	-0.44992715
188.83496	0.081054688	-0.38847327
187.06537	0.08203125	-0.3251344
188.0097	0.083007813	-0.2611734
188.91997	0.083984375	-0.19561127
190.38167	0.084960938	-0.13070703
192.14211	0.0859375	-0.063512474
194.81906	0.086914063	0.0058785081
197.15289	0.087890625	0.073964149
198.78554	0.088867188	0.14298186
200.05486	0.08984375	0.21391585
201.42015	0.090820313	0.28564632
199.81075	0.091796875	0.3581278
199.5195	0.092773438	0.43133125
198.41272	0.09375	0.50513595
196.88246	0.094726563	0.57913733
193.89749	0.095703125	0.65356719
188.89186	0.096679688	0.72991025
182.19345	0.09765625	0.80653578
175.97176	0.098632813	0.88391078
171.45007	0.099609375	0.96213591
162.4821	0.10058594	1.0412529
153.16379	0.1015625	1.1193528
144.59949	0.10253906	1.1973739
136.38153	0.10351563	1.2769535
123.56415	0.10449219	1.3572209
108.34717	0.10546875	1.4376237
101.00313	0.10644531	1.5170887
95.36763	0.10742188	1.5970409
90.231415	0.10839844	1.6779698
86.496758	0.109375	1.7588429
86.571793	0.11035156	1.8385999
88.551498	0.11132813	1.9197776
93.279999	0.11230469	2.0016096
97.675064	0.11328125	2.0822115
104.1146	0.11425781	2.1632209
112.57487	0.11523438	2.2452214
120.63268	0.11621094	2.3269124
125.59697	0.1171875	2.4071245
134.43997	0.11816406	2.4890759
142.10626	0.11914063	2.5715313
147.73155	0.12011719	2.65433
149.96318	0.12109375	2.734767
152.28183	0.12207031	2.816469
150.81985	0.12304688	2.8976798
148.19975	0.12402344	2.9801755
141.25716	0.125	3.0609198
136.38019	0.12597656	3.1427455
128.27972	0.12695313	3.2230709
118.43407	0.12792969	3.30388
106.34431	0.12890625	3.3855643
95.776123	0.12988281	3.4656298
87.15197	0.13085938	3.5453293
73.4571	0.13183594	3.626132
64.612785	0.1328125	3.7060359
56.684196	0.13378906	3.7849414
49.248577	0.13476563	3.8636062
43.505119	0.13574219	3.9414196
36.564281	0.13671875	4.0198617
33.54039	0.13769531	4.097013
29.577646	0.13867188	4.1730752
27.084036	0.13964844	4.2492723
25.364182	0.140625	4.3245897
23.893553	0.14160156	4.3987608
24.965923	0.14257813	4.472538
25.74402	0.14355469	4.5460773
27.590782	0.14453125	4.6180229
31.252478	0.14550781	4.6893363
34.113274	0.14648438	4.7603779
36.032612	0.14746094	4.8297558
38.054737	0.1484375	4.8989167
41.192211	0.14941406	4.9675989
40.887989	0.15039063	5.0357108
40.114185	0.15136719	5.101963
39.416965	0.15234375	5.1670814
36.179947	0.15332031	5.2314849
31.154434	0.15429688	5.2949882
23.15209	0.15527344	5.3568182
14.596968	0.15625	5.4178147
8.2463608	0.15722656	5.478765
0.31449598	0.15820313	5.538589
-5.3416357	0.15917969	5.5953069
-8.2938356	0.16015625	5.6526756
-8.4845924	0.16113281	5.709846
-7.8946352	0.16210938	5.7645841
-8.8807659	0.16308594	5.8180699
-9.1305933	0.1640625	5.8715057
-9.1505346	0.16503906	5.9237003
-8.7558641	0.16601563	5.9765477
-9.0007563	0.16699219	6.0275021
-9.7176638	0.16796875	6.0763006
-8.6757355	0.16894531	6.1247911
-8.6751766	0.16992188	6.173398
-10.009937	0.17089844	6.2212348
-9.594182	0.171875	6.2667232
-9.2191734	0.17285156	6.3122549
-9.7628222	0.17382813	6.3563466
-10.330509	0.17480469	6.3979144
-10.833947	0.17578125	6.4394002
-11.518807	0.17675781	6.479795
-11.557631	0.17773438	6.5198054
-12.117449	0.17871094	6.5572896
-11.984818	0.1796875	6.5928373
-13.29882	0.18066406	6.6290359
-14.263309	0.18164063	6.6633501
-14.53592	0.18261719	6.6952219
-15.069254	0.18359375	6.7254114
-16.008003	0.18457031	6.755507
-17.046009	0.18554688	6.7828593
-18.75708	0.18652344	6.8099051
-19.71851	0.1875	6.8353677
-20.265999	0.18847656	6.8588219
-21.312059	0.18945313	6.880116
-26.670307	0.19042969	6.9006066
-50.522655	0.19140625	6.9199767
-112.0948	0.19238281	6.938745
-171.54718	0.19335938	6.9571662
-230.42923	0.19433594	6.9733715
-277.47864	0.1953125	6.9877973
-307.18027	0.19628906	7.0013261
-326.22516	0.19726563	7.0116477
-329.12518	0.19824219	7.020741
-310.00879	0.19921875	7.0279136
-281.51978	0.20019531	7.0333071
-245.68723	0.20117188	7.0360904
-201.41771	0.20214844	7.0370502
-159.28876	0.203125	7.0373464
-120.11735	0.20410156	7.0362067
-83.937782	0.20507813	7.0329347
-57.930023	0.20605469	7.0281348
-43.392136	0.20703125	7.0221486
-36.074665	0.20800781	7.0150394
-38.189034	0.20898438	7.0068417
-50.406136	0.20996094	6.9957471
-70.829025	0.2109375	6.9829473
-103.72789	0.21191406	6.9681993
-146.94289	0.21289063	6.9519119
-197.07892	0.21386719	6.932415
-250.04727	0.21484375	6.912322
-305.13281	0.21582031	6.8896494
-354.82938	0.21679688	6.8637342
-397.67929	0.21777344	6.835618
-436.73682	0.21875	6.8055339
-467.41922	0.21972656	6.7722993
-488.2616	0.22070313	6.7355123
-499.2403	0.22167969	6.6954212
-502.64801	0.22265625	6.6517954
-497.49045	0.22363281	6.6052189
-480.68674	0.22460938	6.5560126
-459.05878	0.22558594	6.5045934
-430.00113	0.2265625	6.4494748
-398.15317	0.22753906	6.3914371
-366.3699	0.22851563	6.3304787
-330.43704	0.22949219	6.2671905
-295.84833	0.23046875	6.201014
-265.02612	0.23144531	6.1327567
-239.07771	0.23242188	6.062695
-221.08315	0.23339844	5.9896355
-208.50839	0.234375	5.9159808
-202.93909	0.23535156	5.83986
-206.19225	0.23632813	5.7612758
-218.61577	0.23730469	5.6809645
-237.24734	0.23828125	5.5998096
-265.80045	0.23925781	5.5154467
-297.5043	0.24023438	5.4298902
-324.77216	0.24121094	5.3431468
-348.40561	0.2421875	5.2539153
-364.71478	0.24316406	5.1640677
-375.3407	0.24414063	5.072402
-380.75769	0.24511719	4.9787993
-379.5191	0.24609375	4.8815298
-371.61383	0.24707031	4.783494
-359.34879	0.24804688	4.6842642
-345.18723	0.24902344	4.5833783
-329.38309	0.25	4.4808016
-309.24704	0.25097656	4.3775654
-293.68405	0.25195313	4.2714062
-280.03568	0.25292969	4.1638832
-260.05798	0.25390625	4.0563607
-243.24057	0.25488281	3.9463627
-232.87154	0.25585938	3.834641
-222.94061	0.25683594	3.7233167
-218.44937	0.2578125	3.6109674
-219.05014	0.25878906	3.4970772
-220.43126	0.25976563	3.3820436
-227.48616	0.26074219	3.2656319
-245.29947	0.26171875	3.1477993
-264.86447	0.26269531	3.0302196
-283.5784	0.26367188	2.9129102
-303.52274	0.26464844	2.7934189
-317.82953	0.265625	2.6729822
-324.74771	0.26660156	2.5524065
-330.29053	0.26757813	2.4302588
-326.16571	0.26855469	2.3081481
-315.60071	0.26953125	2.1844528
-299.67032	0.27050781	2.0576863
-275.74963	0.27148438	1.9327306
-248.82187	0.27246094	1.8052466
-220.78429	0.2734375	1.6776264
-196.74284	0.27441406	1.5501022
-175.85289	0.27539063	1.4218658
-155.41095	0.27636719	1.2930065
-140.97472	0.27734375	1.1646674
-133.55589	0.27832031	1.0349445
-130.43515	0.27929688	0.90472102
-137.0341	0.28027344	0.77584755
-148.22849	0.28125	0.6466195
-161.83499	0.28222656	0.51757467
-180.73241	0.28320313	0.38819313
-197.16672	0.28417969	0.25862083
-210.60539	0.28515625	0.13004988
