Ohm,Hz,mm,Eff_Elec,Eff_Mech,Eff_EH,P_in_avg_exp,P_out_avg_exp,P_out_max_exp
10.0,1.0,5,0.7874015748031497,0.3511290634557454,0.276479577524209,1.5423960200556226,0.4264409999999999,0.7839999999999999
10.0,1.0,7,0.7874015748031497,0.3648198403413616,0.28725971680422174,2.7054834163527195,0.7771764000000005,1.444
10.0,1.0,10,0.7874015748031497,0.40049922786833336,0.3153537227309712,4.83120347147363,1.5235380000000007,2.5
10.0,2.0,5,0.7874015748031497,0.3802760796264195,0.2994299839578107,5.000621448154555,1.4973360000000024,2.5
10.0,2.0,7,0.7874015748031497,0.4073397725251309,0.32073997836624485,8.783122123875765,2.8170983999999994,4.624
10.0,2.0,10,0.7874015748031497,0.4137999003953037,0.3258266932246486,16.86979278953741,5.4966287999999945,8.463999999999999
10.0,3.0,5,0.7874015748031497,0.41533907191774316,0.3270386393053096,9.644515420868764,3.154129199999996,5.184
10.0,3.0,7,0.7874015748031497,0.4309844458350926,0.33935783136621467,17.239655782944286,5.850412199999995,8.836000000000002
10.0,3.0,10,0.7874015748031497,0.457626988048644,0.3603362110619244,31.316835093380984,11.284589700000012,16.384000000000004
30.0,1.0,5,0.9174311926605504,0.15272793675379406,0.1401173731686184,1.1544078820643162,0.1617526000000002,0.3
30.0,1.0,7,0.9174311926605504,0.1721506511450722,0.15793637719731393,1.9360422559141748,0.3057714999999997,0.5333333333333333
30.0,1.0,10,0.9174311926605504,0.1848225946721623,0.16956201346069935,3.5626711883792006,0.6040936999999997,0.9720000000000001
30.0,2.0,5,0.9174311926605504,0.18013370980893031,0.16526028422837644,3.6182546991972715,0.5979537999999998,0.9720000000000001
30.0,2.0,7,0.9174311926605504,0.20241375439636827,0.18570069210675988,6.191260716136807,1.149721399999999,1.8253333333333335
30.0,2.0,10,0.9174311926605504,0.22203715529805967,0.20370381220005473,11.31065921209785,2.3040243999999994,3.6053333333333337
30.0,3.0,5,0.9174311926605504,0.20156357928858515,0.18492071494365608,7.119670721590884,1.316574600000002,2.028
30.0,3.0,7,0.9174311926605504,0.21901820188139226,0.2009341301664149,12.405617691407226,2.492711999999999,3.7453333333333334
30.0,3.0,10,0.9174311926605504,0.26062015080699197,0.23910105578623114,20.752127938891867,4.96185569999999,7.301333333333334
