MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.21582	s	5/16/2018 12:15:45 PM
Axial Force	Running Time	Axial Displacement
N	s	mm
-8.5499954	0.0048828125	-1.9512236
-8.1011209	0.005859375	-1.9505844
-7.9952292	0.0068359375	-1.9512333
-7.9891644	0.0078125	-1.9506968
-7.2143273	0.0087890625	-1.95091
-7.6279626	0.009765625	-1.9506
-8.0675926	0.010742188	-1.9507461
-7.6751342	0.01171875	-1.9507341
-6.567349	0.012695313	-1.9504226
-6.4968014	0.013671875	-1.9495473
-6.6280479	0.014648438	-1.9500829
-6.7244868	0.015625	-1.9503593
-6.3022366	0.016601563	-1.9504681
-6.2761946	0.017578125	-1.9506402
-6.3379526	0.018554688	-1.9508548
-6.3687329	0.01953125	-1.9506358
-6.0667868	0.020507813	-1.9502521
-6.7078972	0.021484375	-1.9504263
-6.2868581	0.022460938	-1.9498378
-5.803071	0.0234375	-1.9493304
-5.9316401	0.024414063	-1.9503429
-5.9669023	0.025390625	-1.9504719
-7.2695313	0.026367188	-1.9507371
-7.9944034	0.02734375	-1.9506782
-7.3530011	0.028320313	-1.9511104
-7.1713467	0.029296875	-1.9500471
-7.8235288	0.030273438	-1.9509107
-7.1900783	0.03125	-1.9505785
-7.6625843	0.032226563	-1.9506938
-7.9942513	0.033203125	-1.9506484
-7.798162	0.034179688	-1.9502007
-7.0190291	0.03515625	-1.9502566
-6.9646978	0.036132813	-1.950664
-6.9312868	0.037109375	-1.9509643
-7.3282862	0.038085938	-1.9509063
-7.7411532	0.0390625	-1.9514061
-6.6280131	0.040039063	-1.9508399
-6.4263701	0.041015625	-1.9503839
-6.3805723	0.041992188	-1.9507207
-5.6688323	0.04296875	-1.950863
-4.8533897	0.043945313	-1.950974
-4.5021996	0.044921875	-1.9498401
-3.0888944	0.045898438	-1.948753
-2.9284623	0.046875	-1.9489362
-3.0286727	0.047851563	-1.9482017
-3.4449971	0.048828125	-1.9478254
-3.5309117	0.049804688	-1.9471481
-2.7681468	0.05078125	-1.9453757
-2.6682391	0.051757813	-1.9427329
-2.3933942	0.052734375	-1.9405358
-2.3230562	0.053710938	-1.9384414
-1.9354513	0.0546875	-1.9362353
-0.59355515	0.055664063	-1.9332051
2.95965	0.056640625	-1.9296393
8.5702868	0.057617188	-1.9260697
15.618792	0.05859375	-1.9220881
23.070408	0.059570313	-1.9168377
35.465584	0.060546875	-1.9120402
54.034737	0.061523438	-1.905997
72.715263	0.0625	-1.8998049
92.942802	0.063476563	-1.8940724
109.3344	0.064453125	-1.8865108
122.16648	0.065429688	-1.8798411
133.08762	0.06640625	-1.8715776
139.11331	0.067382813	-1.8637203
142.76808	0.068359375	-1.8539273
143.71419	0.069335938	-1.8446796
142.91208	0.0703125	-1.834476
136.3922	0.071289063	-1.8243604
130.53339	0.072265625	-1.8120751
122.439	0.073242188	-1.801011
111.03163	0.07421875	-1.7879612
100.35304	0.075195313	-1.7743156
88.838814	0.076171875	-1.7604686
76.780029	0.077148438	-1.746048
67.000809	0.078125	-1.7307475
57.391224	0.079101563	-1.7148726
49.121056	0.080078125	-1.6998515
44.093178	0.081054688	-1.6832278
42.737968	0.08203125	-1.6670837
41.053249	0.083007813	-1.6503155
42.540878	0.083984375	-1.6322777
47.188946	0.084960938	-1.6144686
52.766003	0.0859375	-1.5964031
57.987785	0.086914063	-1.5780293
65.506454	0.087890625	-1.5581042
73.414818	0.088867188	-1.5383161
81.150757	0.08984375	-1.5181913
89.057617	0.090820313	-1.4969423
97.942932	0.091796875	-1.4761232
105.47204	0.092773438	-1.454667
110.12875	0.09375	-1.4322602
112.67422	0.094726563	-1.4092773
112.29599	0.095703125	-1.3857887
111.27666	0.096679688	-1.3617032
108.40588	0.09765625	-1.3371028
104.80001	0.098632813	-1.31279
100.77533	0.099609375	-1.287619
95.960831	0.10058594	-1.2618349
90.806648	0.1015625	-1.2355298
85.406433	0.10253906	-1.2082338
80.868134	0.10351563	-1.1809267
78.239761	0.10449219	-1.1535585
78.531555	0.10546875	-1.1258699
78.824043	0.10644531	-1.0976665
77.720871	0.10742188	-1.0681748
78.138672	0.10839844	-1.0383592
78.515945	0.109375	-1.009497
79.249634	0.11035156	-0.97855401
80.998718	0.11132813	-0.94930899
83.792809	0.11230469	-0.91796964
84.6577	0.11328125	-0.88641495
84.276237	0.11425781	-0.8545078
84.029488	0.11523438	-0.82248521
84.703072	0.11621094	-0.7907443
85.752556	0.1171875	-0.75723457
86.779427	0.11816406	-0.72520226
85.636131	0.11914063	-0.69164264
83.866058	0.12011719	-0.65747428
82.611053	0.12109375	-0.62253624
80.935875	0.12207031	-0.58844757
77.89782	0.12304688	-0.55313182
74.726753	0.12402344	-0.51828992
70.422607	0.125	-0.48271194
65.521751	0.12597656	-0.44672266
62.384953	0.12695313	-0.41083246
60.797287	0.12792969	-0.37523061
59.584572	0.12890625	-0.33826753
59.15823	0.12988281	-0.30112267
60.011032	0.13085938	-0.26390925
63.703419	0.13183594	-0.22621304
68.145462	0.1328125	-0.18916875
73.228951	0.13378906	-0.1513958
79.121292	0.13476563	-0.11442378
82.26532	0.13574219	-0.075741857
85.263855	0.13671875	-0.03651157
89.079132	0.13769531	0.0012569129
91.030312	0.13867188	0.039757043
92.113556	0.13964844	0.080548227
94.687408	0.140625	0.12042522
